case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity
1,"PC has no network connectivity","PC connected to access switch","show vlan brief: VLAN 10 missing","Missing VLAN","Layer 2","VLAN","High"
2,"PC cannot reach default gateway","PC in VLAN 10","show ip interface brief: gateway interface down","Gateway interface down","Layer 3","Gateway","High"
3,"PC receives wrong IP address","PC uses DHCP","ipconfig: 169.254.x.x","DHCP failure","Layer 3","DHCP","High"
4,"PC can ping gateway but not DNS server","PC in employee VLAN","show ip route: DNS network route missing","Missing route","Layer 3","Routing","High"
5,"PC cannot resolve website names","DNS server reachable by IP","nslookup fails","DNS configuration issue","Layer 7","DNS","Medium"
6,"VLAN 20 users cannot communicate","Two switches connected by trunk","show interfaces trunk: VLAN 20 not allowed","VLAN missing on trunk","Layer 2","Trunk","High"
7,"PC has IP but cannot reach another VLAN","Router-on-a-stick topology","show ip interface brief: subinterface missing","Missing router subinterface","Layer 3","Inter-VLAN routing","High"
8,"DHCP clients receive incorrect gateway","DHCP configured on router","show running-config: wrong default-router","Wrong DHCP gateway","Layer 3","DHCP","High"
9,"Interface shows administratively down","PC connected to switch port","show interfaces status: port disabled","Interface shutdown","Layer 1","Interface","High"
10,"PC cannot reach server after ACL change","Employee VLAN to server VLAN","show access-lists: deny rule matches traffic","ACL blocking traffic","Layer 3/4","ACL","High"
11,"Guest PC can access internal server","Guest VLAN should be isolated","show access-lists: guest-to-server permit","Guest isolation failure","Layer 3/4","ACL","High"
12,"Internal users cannot access internet","NAT configured on edge router","show ip nat translations: no entries","NAT configuration issue","Layer 3","NAT","High"
13,"Only some PCs get DHCP addresses","Multiple PCs in same VLAN","show ip dhcp pool: addresses exhausted","DHCP pool exhausted","Layer 3","DHCP","Medium"
14,"PC cannot communicate with switch gateway","Access port assigned incorrectly","show vlan brief: port in wrong VLAN","Wrong access VLAN","Layer 2","VLAN","High"
15,"Inter-switch communication fails","Two switches connected through trunk","show interfaces trunk: trunk not active","Trunk configuration issue","Layer 2","Trunk","High"
16,"Router cannot reach remote network","Static routing used","show ip route: remote network absent","Missing static route","Layer 3","Routing","High"
17,"Wireless client cannot connect to network","Wireless AP connected to switch","AP connected to wrong VLAN","Wireless VLAN mapping issue","Layer 2","Wireless","Medium"
18,"Wireless guest reaches internal resources","Guest SSID configured separately","show vlan brief: guest traffic mapped to employee VLAN","Incorrect wireless VLAN","Layer 2","Wireless","High"
19,"PC can reach gateway but server is unreachable","Server in separate VLAN","show ip route: server network present","Server-side or ACL issue","Layer 3/4","Routing/ACL","High"
20,"Duplicate IP warning appears on PC","Two hosts configured manually","IP address table shows duplicate address","Duplicate IP address","Layer 3","IP addressing","High"
21,"PC has connectivity but wrong subnet","Static IP configuration used","ipconfig shows incorrect subnet mask","Wrong subnet mask","Layer 3","IP addressing","Medium"
22,"PC cannot access server after subnet change","Network subnet recently modified","show ip interface: incorrect subnet","Subnet mismatch","Layer 3","IP addressing","High"
23,"DNS works but web server is unreachable","DNS resolves server address","ping succeeds but HTTP connection fails","Application/service issue","Layer 7","HTTP","Medium"
24,"Employees cannot access internet but can access server","NAT and internal routing configured","show ip nat translations: no translation","NAT issue","Layer 3","NAT","High"
25,"Remote network becomes unreachable after router restart","Static routes configured manually","show ip route: route missing","Static route not configured","Layer 3","Routing","High"
26,"Guest clients cannot get IP addresses","Guest VLAN uses DHCP","show ip dhcp binding: no guest leases","Guest DHCP configuration issue","Layer 3","DHCP","High"
27,"Server is reachable from one VLAN but not another","Multiple VLANs connect through router","show access-lists: deny entry for affected VLAN","ACL blocking VLAN traffic","Layer 3/4","ACL","High"
28,"Switch port has no connectivity after configuration","Port intended for employee PC","show running-config: shutdown command present","Interface administratively down","Layer 1","Interface","High"
29,"PC can ping gateway but not remote subnet","Router has multiple networks","show ip route: next-hop route missing","Routing configuration error","Layer 3","Routing","High"
30,"AI diagnosis suggests routing but evidence shows ACL denial","PC reaches gateway but server blocked","show access-lists: explicit deny entry","AI diagnosis needs human correction","Layer 3/4","Responsible AI","Medium"
